,id,tweets,links
1359993154250944512,1.3599931626143334e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/GtBNSyElgH‌‌ 
SOURCE IMAGE:‌‌ https://t.co/Dy2Mma6Ovr  ","http://www.shitpostbot.com/template/allah-5902994b388b9
http://www.shitpostbot.com/sourceimage/white-content-cop-57df5b27c31dd"
1359985615085928451,1.3599856182693888e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/DET85iSII3‌‌‌‌
2. https://t.co/XUoQphOS7r    ","http://www.shitpostbot.com/sourceimage/sobbing-5840acb6e7959
http://www.shitpostbot.com/sourceimage/spiderman-ass-57d49ebe63592"
1359985606311481349,1.3599856150859284e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/F4yf4NpaWn  ,http://www.shitpostbot.com/template/doggo-reactions-57b2056db8526
1359978053087199233,1.3599780616142234e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/v4UDZGFHRr‌‌ 
SOURCE IMAGE:‌‌ https://t.co/NWjPhInqEf  ","http://www.shitpostbot.com/template/22-million-views-596fe4e603665
http://www.shitpostbot.com/sourceimage/macks-payn-57b1f6e315324"
1359970510831054850,1.3599705192531395e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/ykmdtqJOX1‌‌ 
SOURCE IMAGE:‌‌ https://t.co/EnVMP1JyMO  ","http://www.shitpostbot.com/template/fbi-594ec0a0c4917
http://www.shitpostbot.com/sourceimage/shrek-580305c73a31e"
1359962953508937728,1.359962961977221e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/CcyfXfhfMT‌‌ 
SOURCE IMAGE:‌‌ https://t.co/D22mTlsIBp  ","http://www.shitpostbot.com/template/zuccs-nice-photo-57b20b12991ee
http://www.shitpostbot.com/sourceimage/thumbs-up-57ba26bfdbde8"
1359955402620813318,1.3599554113953137e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/k0QSrhuX9U‌‌ 
SOURCE IMAGE:‌‌ https://t.co/WaKsvXixTy  ","http://www.shitpostbot.com/template/pew-pew-57b1d5fb8ee39
http://www.shitpostbot.com/sourceimage/chill-mario-57c341e07302d"
1359947857701265411,1.359947866194772e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/uHT7s4eU8M‌‌ 
SOURCE IMAGE:‌‌ https://t.co/2KUfm4Gab7  ","http://www.shitpostbot.com/template/killjoy-57c9ca009db5a
http://www.shitpostbot.com/sourceimage/i-dont-even-know-57b698709817c"
1359940316434948100,1.359940324806779e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/B9mlVtZsdM‌‌ 
SOURCE IMAGE:‌‌ https://t.co/qthnNQnIMe  ","http://www.shitpostbot.com/template/total-loser-586a01f668df8
http://www.shitpostbot.com/sourceimage/hotdogcat-57ba7b2788c91"
1359932747142299648,1.3599327582404854e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Q2sm6q42cg‌‌ 
SOURCE IMAGE:‌‌ https://t.co/BPeEZvNxL0  ","http://www.shitpostbot.com/template/everything-i-hate-in-one-picture-57b7ed53cf05f
http://www.shitpostbot.com/sourceimage/boris-588546dfc1a63"
