,tweet,media,favorites,sources
1350012386716098560,https://t.co/S2nyp4zV0M,http://pbs.twimg.com/media/Erw1HKxXIAEwNJX.jpg,4507.0,"http://www.shitpostbot.com/template/matt-what-son-5b7b4444d7714
http://www.shitpostbot.com/sourceimage/ghost-send-nudes-57babea62e3d7"
1349997280133345280,https://t.co/0QuqHMd4r0,http://pbs.twimg.com/media/ErwnX2PXcAEtRcH.jpg,1132.0,"http://www.shitpostbot.com/template/victory-royale-awesome-and-epic-5b3630ee68a4a
http://www.shitpostbot.com/sourceimage/jon-57c3629b1aa2e"
1349770790087090180,https://t.co/bVKVryRM9B,http://pbs.twimg.com/media/ErtZYYvXAAQPuHn.jpg,1527.0,"http://www.shitpostbot.com/template/comment-section-will-be-all-like-580e3dee4015d
http://www.shitpostbot.com/sourceimage/screaming-birb-57c4c3861f2f7"
1349566952566648832,https://t.co/R52j9KAALR,http://pbs.twimg.com/media/Erqf_f-XcAU0NZ4.jpg,843.0,"http://www.shitpostbot.com/template/hes-only-15-57e35ecc44f59
http://www.shitpostbot.com/sourceimage/my-father-5960c8c04d578"
1349483897818673154,https://t.co/nD4TD1BQnx,http://pbs.twimg.com/media/ErpUdD5W8AUjdf3.jpg,1601.0,"http://www.shitpostbot.com/template/newcomer-57b4d5559f8f0
http://www.shitpostbot.com/sourceimage/sweating-devito-57d6222103466"
1349370659022000129,https://t.co/GrIOzGgnu3,http://pbs.twimg.com/media/ErntdtPXEAILqOI.jpg,824.0,"http://www.shitpostbot.com/template/thank-you-kanye-very-cool-5ae1d0be61b5b
http://www.shitpostbot.com/sourceimage/harvey-senpai-58a23f45b541b"
1349295155552120832,https://t.co/0wT62fu7YN,http://pbs.twimg.com/media/Ermoy0bXMAAq22Z.jpg,813.0,"http://www.shitpostbot.com/template/one-day-it-will-match-trust-me-5925932a2cd1d
http://www.shitpostbot.com/sourceimage/stare-5863855419c4d"
1349030914974691335,https://t.co/A30PLSTXGj,http://pbs.twimg.com/media/Eri4d_uXYAciHMg.jpg,1083.0,"http://www.shitpostbot.com/template/-598090cca6fb6
http://www.shitpostbot.com/sourceimage/wojak-58456cecb6d91"
1349015821004255233,https://t.co/fAZdUsRYsq,http://pbs.twimg.com/media/EriqvZGXEAMklqv.jpg,1027.0,"http://www.shitpostbot.com/template/no-response-57b85c713d21d
http://www.shitpostbot.com/sourceimage/oopsruinedmylife-57b25f1682d46"
1349008280962666500,https://t.co/O1WA19Qp1w,http://pbs.twimg.com/media/Erij4gpWMAYTW3Y.jpg,980.0,"http://www.shitpostbot.com/template/relatable-57bcd6cbad792
http://www.shitpostbot.com/sourceimage/sentient-uwu-57e29a64c0877"
1348849722384068608,https://t.co/S0eNu27GR4,http://pbs.twimg.com/media/ErgTrNBW8AAuJu6.jpg,853.0,http://www.shitpostbot.com/template/get-you-a-man-who-can-do-both-57baeb2776465
1348759124998303744,https://t.co/bM9fNZJP21,http://pbs.twimg.com/media/ErfBRt1XAAQa1Eh.jpg,1192.0,"http://www.shitpostbot.com/template/what-is-barron-thinking-58846f0dc9c1a
http://www.shitpostbot.com/sourceimage/dorito-bath-57e459cf2050f"
1348706285957607425,https://t.co/YTFzCNSkya,http://pbs.twimg.com/media/EreROGjWMAIm6jB.jpg,1418.0,"http://www.shitpostbot.com/template/having-depression-and-anxiety-57ccef6f3b91d
http://www.shitpostbot.com/sourceimage/living-a-lie-5977027139ef3"
